,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
23,224,"г. Новосибирск, ул. Гоголя, д. 43а",УК «МКС-Новосибирск»,233-03-10,1961,3 563.90,151
24,225,"г. Новосибирск, ул. Гоголя, д. 43б",УК «МКС-Новосибирск»,233-03-10,1962,3 422.60,172
1,227,"г. Новосибирск, ул. Гоголя, д. 45а",УК «МКС-Новосибирск»,233-03-10,1962,3 591.20,139
2,228,"г. Новосибирск, ул. Гоголя, д. 47",УК «МКС-Новосибирск»,233-03-10,1962,3 591.16,163
3,229,"г. Новосибирск, ул. Гоголя, д. 47а",УК «МКС-Новосибирск»,233-03-10,1962,3 620.40,170
4,230,"г. Новосибирск, ул. Гоголя, д. 47б",УК «МКС-Новосибирск»,233-03-10,1962,3 555.80,193
5,231,"г. Новосибирск, ул. Грибоедова, д. 13",УК «МКС-Новосибирск»,233-03-10,—,—,—
6,232,"г. Новосибирск, ул. Грибоедова, д. 15",УК «МКС-Новосибирск»,233-03-10,—,—,—
7,233,"г. Новосибирск, ул. Грибоедова, д. 17",УК «МКС-Новосибирск»,233-03-10,1943,682.10,—
8,234,"г. Новосибирск, ул. Грибоедова, д. 19",УК «МКС-Новосибирск»,233-03-10,—,—,—
9,235,"г. Новосибирск, ул. Грибоедова, д. 32",УК «МКС-Новосибирск»,233-03-10,—,—,—
10,236,"г. Новосибирск, ул. Грибоедова, д. 32/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
11,237,"г. Новосибирск, ул. Дачная, д. 33",УК «МКС-Новосибирск»,233-03-10,—,—,—
12,238,"г. Новосибирск, ул. Дачная, д. 41а",УК «МКС-Новосибирск»,233-03-10,—,—,—
13,239,"г. Новосибирск, ул. Декабристов, д. 60",УК «МКС-Новосибирск»,233-03-10,—,—,—
14,240,"г. Новосибирск, ул. Декабристов, д. 62",УК «МКС-Новосибирск»,233-03-10,1951,832.90,17
15,241,"г. Новосибирск, ул. Декабристов, д. 66",УК «МКС-Новосибирск»,233-03-10,1950,841.70,21
16,242,"г. Новосибирск, ул. Декабристов, д. 68",УК «МКС-Новосибирск»,233-03-10,1950,836.00,22
17,243,"г. Новосибирск, ул. Декабристов, д. 70",УК «МКС-Новосибирск»,233-03-10,—,—,—
18,244,"г. Новосибирск, ул. Декабристов, д. 72",УК «МКС-Новосибирск»,233-03-10,—,—,—
19,245,"г. Новосибирск, ул. Декабристов, д. 82",УК «МКС-Новосибирск»,233-03-10,—,—,—
20,246,"г. Новосибирск, ул. Декабристов, д. 84",УК «МКС-Новосибирск»,233-03-10,—,—,—
